;;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand
;;31.12.2010;31.12.2009;31.12.2008;31.12.2007;31.12.2006;31.12.2005;31.12.2004;31.12.2003;31.12.2002;31.12.2001;31.12.2000;31.12.1999;31.12.1998;31.12.1997;31.12.1996;31.12.1995;31.12.1994;31.12.1993;31.12.1992;31.12.1991;31.12.1990;31.12.1989;31.12.1988;31.12.1987;31.12.1986;31.12.1985;31.12.1984;31.12.1983;31.12.1982;31.12.1981;31.12.1980;31.12.1979;31.12.1978;31.12.1977;31.12.1976;31.12.1975;31.12.1974;31.12.1973;31.12.1972;31.12.1971;31.12.1970;31.12.1969;31.12.1968;31.12.1967;31.12.1966;31.12.1965;31.12.1964;31.12.1963;31.12.1962
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05158004;      Erkrath, Stadt;45963;46084;46340;46957;47205;47432;47807;48046;48304;48547;48767;48986;49299;49646;49753;49572;49276;49299;49005;48163;47659;47041;46368;45524;45200;44628;44267;44251;44228;43876;43701;42638;41421;39167;37091;36137;35108;33721;32584;31378;28485;26614;24049;20063;19430;19011;18260;17958;17461
05158008;      Haan, Stadt;29149;29156;29149;29323;29411;29325;29370;29472;29518;29607;29677;29525;29452;29422;29648;29888;30027;30253;30320;30055;29860;29413;28984;28573;27844;27722;27741;27978;28407;28742;28570;28191;27779;27611;27545;27257;27439;27635;27283;26896;26273;25246;24946;24231;24146;23729;23587;23284;23063
05158012;      Heiligenhaus, Stadt;26659;26818;26963;27312;27415;27750;27789;28025;28373;28402;28442;28595;28941;29182;29344;29487;29608;29893;30198;29771;29715;29480;29275;28940;28513;28514;28671;28901;29272;29579;29649;29492;29445;29681;29732;29886;30089;30130;29483;29286;29112;28537;27900;28028;27681;26854;25303;24162;23664
05158016;      Hilden, Stadt;55441;55551;55961;56180;56326;56545;56524;56651;56753;56615;56412;56271;55621;55386;55002;55086;55222;55296;55478;55189;54782;54273;53725;53464;53821;53405;53289;53732;54190;53945;53333;52711;52422;52328;52263;52235;52852;52629;51824;51406;50092;48227;46533;45085;44798;44256;42888;40171;38676
05158020;      Langenfeld (Rhld.), Stadt;59160;59038;59213;59075;58947;58993;59007;59053;58737;58757;58429;58338;58249;57619;56975;56676;56320;56153;55531;54152;53455;51971;50777;50227;48465;48359;48096;48031;47929;47580;47032;46605;46506;46631;47088;47317;47853;47695;46712;45849;44356;42793;41441;40797;40544;38732;36911;35172;34740
05158024;      Mettmann, Stadt;39300;39374;39560;39857;39778;39670;39481;39381;39206;39125;38708;38350;38304;38363;38677;38812;39064;39278;39378;38980;38998;38014;37671;37227;36294;35982;35796;35925;36079;36518;36680;36783;37142;37068;36901;36828;36817;36995;36529;36506;36415;35433;34583;33960;32680;31493;29827;28567;27484
05158026;      Monheim am Rhein, Stadt;43063;43065;43308;43353;43587;43705;43819;43742;43749;43685;43514;43178;42944;43071;43494;43811;43838;43768;43801;43120;42656;42234;41158;40390;40832;40512;40423;40346;40592;40716;40550;39934;39379;38213;37607;37318;36721;36118;35472;34446;32457;29652;26387;23606;19024;16559;15055;13131;11230
05158028;      Ratingen, Stadt;91088;91306;91704;92255;92152;91975;91887;91777;91967;91793;91437;90951;90417;89609;89306;89534;89837;90443;90830;90879;91007;90672;89880;88867;89166;88719;87702;87932;88755;89294;89463;89031;88869;88971;88010;86029;84634;80943;76295;71779;68810;66016;63158;60637;60284;59463;58119;56984;56176
05158032;      Velbert, Stadt;84033;84633;85465;86121;86754;87378;87995;88538;89478;89823;89782;89881;89994;90098;90113;89786;89519;89643;90079;89347;89253;88651;88058;87358;88578;88406;89266;90675;91939;92472;93063;93312;93713;94512;95242;95958;97021;97298;97269;96845;96021;94479;92736;91843;92212;92012;90930;90007;88328
05158036;      Wülfrath, Stadt;21299;21420;21530;21612;21917;22199;22382;22479;22618;22669;22531;22574;22545;22399;22210;22046;22127;22236;22272;22098;21987;21460;21115;20769;20919;20794;20752;20773;20992;20911;20916;20571;20328;20037;19991;19898;20055;19984;19694;19631;19464;18953;18556;18597;18639;18559;18395;18311;18264
